movieId,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30
1,3114,4306,4886,364,6377,919,8961,150,588,595,1270,1097,480,5349,78499,1387,1291,8360,2355,1207,1196,1580,2716,260,1198,34,1265,594,8636,457
2,1917,500,786,1580,158,1485,2012,1544,2054,736,586,661,1882,5459,3977,2640,4701,3489,2431,2420,455,367,5349,2011,1088,1552,1717,7454,2081,165
6,2278,3006,55118,1466,16,1242,111,1036,1784,508,1089,1610,380,648,44199,1213,2268,1079,2542,4262,1552,8798,6377,733,2000,1961,1573,2997,527,5464
10,1722,3082,5872,2948,1374,2947,1356,4701,1610,1372,2949,2006,1375,5989,434,49272,454,1291,2000,1270,368,592,8984,1580,150,2683,2273,2890,3793,4022
11,440,2144,62,2406,3798,1608,539,349,474,594,1101,2028,2949,7162,5810,1266,4018,4489,832,39,920,454,4447,8970,2797,3256,339,2671,2336,4310
16,1466,6,2278,4148,3147,3702,1961,1090,293,8798,1225,36529,1089,2167,1617,2329,3174,1674,4855,3020,3753,223,2023,1784,5989,6708,3527,4262,1079,2268
17,1293,37741,81845,8873,91529,4246,2248,588,3418,8464,923,6385,46970,98809,1221,1307,1961,3471,47,5013,49530,41285,1247,1197,8949,364,73017,69757,48774,21
19,344,1485,231,367,5481,6373,788,2683,368,3753,3752,1517,3948,3785,1779,4718,784,420,370,1923,104,3988,2012,2490,3623,4148,3033,5459,5989,1573
21,1552,434,2916,1580,485,2167,3869,49530,380,2353,733,16,2987,1079,2571,1036,457,1265,1343,1573,2455,2058,2100,95,2716,2470,1485,48738,2529,69757
25,1358,36,2700,3499,2336,1193,2916,64839,1320,1090,508,1222,555,2396,4734,36529,3101,1729,509,5060,1245,141,51540,1393,608,5630,3386,1278,3448,1200
29,1175,5225,48394,6867,337,1278,1617,1079,72011,61240,1466,36529,3681,1704,778,1288,1391,8784,1089,76251,32,76093,1193,6709,1197,648,6016,68954,111,32587
32,2997,1682,7361,47,50,1653,2890,318,6708,2959,4027,1259,2858,1208,4878,6502,541,36529,1527,4226,2571,3448,1748,2710,778,6947,5989,2762,1270,4901
34,745,3751,2018,357,2355,4886,1,5377,919,1022,595,3114,539,1223,1148,6377,4306,4246,1097,38038,2797,6947,6218,1367,5989,1307,150,1029,1079,1387
36,25,5445,912,1358,2858,4720,3174,1247,1674,1285,480,3081,2455,1393,55118,1278,1961,3386,1682,37741,4239,2336,72011,8949,1380,318,953,6870,4027,5464
39,410,4447,11,4641,1380,1962,1393,7451,2081,5810,2470,586,2797,4369,6863,1407,3255,2144,913,4361,2054,300,2420,1073,1225,594,595,2396,185,350
44,8810,153,1882,1911,5254,145,5219,1644,2273,8361,4369,60072,4701,2378,173,6503,2722,158,1544,1831,6157,2335,355,3624,3793,736,2003,455,4270,2420
47,593,296,2028,110,32,356,368,318,1617,778,2762,3527,231,1961,4239,1307,50,1625,4226,2490,454,2959,527,48516,3176,1213,81591,2761,2329,1219
48,1907,2081,783,158,588,1028,595,2087,2701,2080,1022,2,364,2085,4310,596,1573,455,2640,3489,4246,4896,673,1101,317,2628,1580,4308,5349,2617
50,318,593,1089,1617,296,858,2858,2762,32,2336,110,293,457,150,589,47,608,48780,733,33794,1961,1193,356,648,592,4226,2028,2908,3969,2571
